,name,latitude,longitude
0,Baseball Stadium,"[36.068262, 36.068227, 36.067926, 36.067152, 36.067138, 36.06712, 36.06723, 36.067197, 36.06716, 36.067175, 36.067209, 36.067245, 36.067291, 36.067357, 36.068016, 36.068046, 36.068177, 36.068262]","[-79.813988, -79.81304, -79.812678, -79.812706, -79.812834, -79.813, -79.813015, -79.813316, -79.813829, -79.813909, -79.81397, -79.814006, -79.814033, -79.814043, -79.813906, -79.814055, -79.814014, -79.813988]"
1,Bryan Building,"[36.067034, 36.066912, 36.066966, 36.066942, 36.066785, 36.066747, 36.066742, 36.066704, 36.066667, 36.066576, 36.066435, 36.066382, 36.066354, 36.066209, 36.066246, 36.06624, 36.066286, 36.066276, 36.066288, 36.066245, 36.066254, 36.066218, 36.066372, 36.066426, 36.066453, 36.066478, 36.066424, 36.066489, 36.066475, 36.06647, 36.066532, 36.066595, 36.066586, 36.066657, 36.066599, 36.066617, 36.066554, 36.066645, 36.066595, 36.066643, 36.066756, 36.066736, 36.066783, 36.066805, 36.066844, 36.067034]","[-79.811899, -79.811763, -79.811693, -79.811665, -79.811482, -79.811527, -79.81152, -79.811566, -79.811574, -79.811496, -79.811678, -79.811616, -79.81165, -79.811841, -79.811886, -79.811895, -79.811953, -79.811969, -79.811984, -79.812044, -79.812053, -79.812102, -79.812279, -79.812206, -79.812235, -79.812263, -79.812339, -79.812416, -79.812438, -79.812445, -79.812515, -79.812432, -79.812422, -79.812326, -79.812258, -79.812234, -79.812163, -79.812037, -79.81198, -79.811919, -79.812047, -79.812073, -79.81213, -79.812104, -79.812152, -79.811899]"
2,Carmichael Building,"[36.067973, 36.067964, 36.067781, 36.06779, 36.067973]","[-79.806363, -79.806097, -79.806106, -79.806373, -79.806363]"
3,Curry Building,"[36.065905, 36.065818, 36.065358, 36.065349, 36.065621, 36.065618, 36.065653, 36.06565, 36.065618, 36.065618, 36.065597, 36.065374, 36.065378, 36.065227, 36.065214, 36.065402, 36.065405, 36.065579, 36.065609, 36.065645, 36.06564, 36.06534, 36.065331, 36.065782, 36.065874, 36.06588, 36.065788, 36.065781, 36.065787, 36.06581, 36.065812, 36.065821, 36.065824, 36.065826, 36.065813, 36.065814, 36.065791, 36.065798, 36.065811, 36.0659, 36.065905]","[-79.809008, -79.809014, -79.809042, -79.808821, -79.808804, -79.808717, -79.808715, -79.808639, -79.808641, -79.80866, -79.808699, -79.808713, -79.808796, -79.808806, -79.808473, -79.808461, -79.808539, -79.808528, -79.808556, -79.808554, -79.808419, -79.808437, -79.80821, -79.808183, -79.808177, -79.808335, -79.80834, -79.808341, -79.808499, -79.808497, -79.808541, -79.80854, -79.808596, -79.808655, -79.808656, -79.808687, -79.808689, -79.808872, -79.808871, -79.808866, -79.809008]"
4,Eberhart Building,"[36.069129, 36.069119, 36.06854, 36.068525, 36.068222, 36.068258, 36.069129]","[-79.806655, -79.806388, -79.806431, -79.806208, -79.806222, -79.806721, -79.806655]"
5,Elliott University Center,"[36.067771, 36.067657, 36.067512, 36.067369, 36.067175, 36.067175, 36.067138, 36.067127, 36.066939, 36.066937, 36.066862, 36.066855, 36.066751, 36.066748, 36.066863, 36.066859, 36.067122, 36.067112, 36.067192, 36.067273, 36.067279, 36.067281, 36.067282, 36.067284, 36.067289, 36.067443, 36.067474, 36.067499, 36.067495, 36.067792, 36.067805, 36.067805, 36.067807, 36.067808, 36.06781, 36.067813, 36.067791, 36.067798, 36.067756, 36.067771]","[-79.810233, -79.810238, -79.810249, -79.810258, -79.810265, -79.810174, -79.810176, -79.80996, -79.809976, -79.80995, -79.809957, -79.809781, -79.80979, -79.809725, -79.809718, -79.809513, -79.809495, -79.809074, -79.809069, -79.809063, -79.809222, -79.80928, -79.809299, -79.809361, -79.809478, -79.809465, -79.809462, -79.80946, -79.809253, -79.809236, -79.809529, -79.809547, -79.809591, -79.809608, -79.809651, -79.809709, -79.809711, -79.809856, -79.809858, -79.810233]"
6,Graham Building,"[36.0662, 36.066012, 36.065921, 36.066118, 36.0662]","[-79.80635, -79.806318, -79.807078, -79.807114, -79.80635]"
7,Gray Home Management House,"[36.072136, 36.071867, 36.071856, 36.072125, 36.072136]","[-79.809405, -79.809429, -79.80924, -79.809216, -79.809405]"
8,Grogan Residence Hall,"[36.071357, 36.071342, 36.071282, 36.071279, 36.07127, 36.071262, 36.071155, 36.071173, 36.071213, 36.071214, 36.071238, 36.071254, 36.071357]","[-79.8091, -79.808693, -79.808685, -79.80861, -79.808611, -79.80845, -79.808452, -79.808785, -79.808783, -79.8088, -79.808798, -79.809103, -79.8091]"
9,Guilford Residence Hall,"[36.070567, 36.070554, 36.070418, 36.070423, 36.070237, 36.070233, 36.070085, 36.070094, 36.070567]","[-79.808779, -79.808495, -79.808505, -79.808613, -79.80862, -79.808518, -79.808525, -79.808798, -79.808779]"
